#汉字	频率	累计频率(%)	拼音
星	107929	72.72937396	xing1
落	107275	72.77081646	la4/luo4
礼	107058	72.81217512	li3
营	106543	72.85333483	ying2
增	106256	72.89438367	zeng1
土	106109	72.93537572	tu3
际	106046	72.97634343	ji4
致	105897	73.01725358	zhi4
志	105715	73.05809342	zhi4
夜	105636	73.09890273	ye4
需	105318	73.1395892	xu1
皆	105205	73.18023202	jie1
左	105003	73.2207968	zuo3
究	104759	73.26126731	jiu1
汉	104662	73.30170036	han4
念	104319	73.34200089	nian4
既	104197	73.38225429	ji4
送	103476	73.42222916	song4
显	103451	73.46219437	xian3
置	103227	73.50207304	zhi4
亚	103168	73.54192893	ya4
推	103078	73.58175004	tui1
居	102821	73.62147186	ju1
列	102713	73.66115197	lie4
君	102471	73.70073858	1-Jun
包	102343	73.74027575	bao1
技	102118	73.779726	ji4
线	101498	73.81893672	xian4
弟	101492	73.85814513	di4
客	101308	73.89728245	ke4
委	101111	73.93634367	wei1/wei3
终	101059	73.97538481	zhong1
选	100384	74.01416517	xuan3
龙	100347	74.05293124	long2
势	99656	74.09143037	shi4
考	99524	74.1298785	kao3
右	99064	74.16814892	you4
属	98897	74.20635483	shu3/zhu3
酒	98265	74.24431658	jiu3
农	98067	74.28220184	nong2
片	97994	74.3200589	pian1/pian4
希	97912	74.35788428	xi1
破	97833	74.39567914	po4
谓	97572	74.43337318	wei4
喜	97430	74.47101235	xi3
费	97336	74.50861521	fei4
谈	97074	74.54611686	tan2
音	96907	74.58355399	yin1
查	96845	74.62096717	cha2/zha1
专	96769	74.65835099	zhuan1
止	96594	74.6956672	zhi3
吗	96441	74.7329243	ma3/ma
找	95872	74.76996159	zhao3
食	95753	74.80695291	shi2/si4
装	95456	74.84382949	zhuang1
绝	95363	74.88067014	jue2
答	95330	74.91749804	da1/da2
敌	95252	74.95429581	di2
害	95141	74.9910507	hai4
密	95115	75.02779554	mi4
研	95051	75.06451566	yan2
刘	94803	75.10113998	liu2
依	94730	75.13773609	yi1
按	94594	75.17427966	an4
久	94466	75.21077378	jiu3
宝	94457	75.24726443	bao3
攻	94248	75.28367433	gong1
企	94067	75.32001431	qi3
案	93966	75.35631527	an4
察	93806	75.39255442	cha2
黑	93586	75.42870859	hei1
突	93448	75.46480943	tu1
倒	93431	75.50090371	dao3/dao4
局	93177	75.53689987	ju2
投	93127	75.57287671	tou2
衣	93100	75.60884312	yi1/yi4
愿	93032	75.64478326	yuan4
省	93007	75.68071374	sheng3/xing3
欲	92849	75.71658318	yu4
率	92835	75.75244722	lu:4/shuai4/lv4
严	92733	75.78827185	yan2
待	92283	75.82392263	dai1/dai4
归	92137	75.85951701	gui1
医	92010	75.89506233	yi1
玉	91994	75.93060147	yu4
船	91782	75.96605871	chuan2
奇	91754	76.00150513	ji1/qi2
护	91710	76.03693456	hu4
卫	91643	76.0723381	wei4
岁	91597	76.10772387	sui4
律	91451	76.14305324	lu:4/lv4
标	91121	76.17825512	biao1
罪	90904	76.21337317	zui4
吧	90886	76.24848426	ba1/ba
群	90620	76.2834926	qun2
春	90299	76.31837692	chun1
响	90104	76.35318592	xiang3
仍	89668	76.38782648	reng2
某	89639	76.42245583	mou3
细	89521	76.4570396	xi4
承	89473	76.49160483	cheng2
拿	89368	76.52612949	na2
施	89240	76.5606047	shi1
急	89179	76.59505635	ji2
职	89161	76.62950104	zhi2
另	88691	76.66376417	ling4
敢	88676	76.69802149	gan3
跟	88382	76.73216524	gen1
讲	88363	76.76630166	jiang3
防	88032	76.80031019	fang2
独	87916	76.83427392	du2
责	87897	76.8682303	ze2
较	87532	76.90204568	jiao4
威	87280	76.93576371	wei1
苏	87185	76.96944503	su1
双	87141	77.00310936	shuang1
善	86770	77.03663036	shan4
校	86267	77.06995705	jiao4/xiao4
友	86160	77.10324239	you3
围	86131	77.13651654	wei2
仅	85765	77.16964929	jin3
纪	85757	77.20277895	ji4
族	85679	77.23587847	zu2
谁	85662	77.26897143	shei2/shui2
惊	85638	77.30205512	jing1
底	85583	77.33511756	de/di3
孩	85433	77.36812205	hai2
革	85381	77.40110646	ge2
维	85224	77.43403021	wei2
巴	85162	77.46693001	ba1
供	85047	77.49978538	gong1/gong4
斗	84989	77.53261835	dou3/dou4
降	84730	77.56535125	jiang4/xiang2
卷	84712	77.59807721	juan3/juan4
姐	84667	77.63078578	jie3
封	84607	77.66347117	feng1
构	84297	77.69603681	gou4
站	83697	77.72837065	zhan4
验	83533	77.76064113	yan4
苦	83502	77.79289964	ku3
差	83453	77.82513922	cha1/cha4/chai1/ci1
刻	83421	77.85736643	ke4
益	83408	77.88958863	yi4
派	83385	77.92180193	pai4
紧	83384	77.95401486	jin3
料	83372	77.98622314	liao4
异	83126	78.01833639	yi4
例	83096	78.05043806	li4
祖	82857	78.08244739	zu3
宫	82585	78.11435164	gong1
乱	82496	78.14622151	luan4
素	82408	78.17805738	su4
怕	82330	78.20986312	pa4
男	82231	78.24163062	nan2
效	81781	78.27322427	xiao4
般	81725	78.30479629	ban1
段	81535	78.3362949	duan4
福	81453	78.36776184	fu2
银	81313	78.39917469	yin2
晚	81200	78.43054389	wan3
宣	81125	78.46188412	xuan1
户	80592	78.49301843	hu4
游	80450	78.52409789	you2
香	80408	78.55516113	xiang1
采	80276	78.58617336	cai3/cai4
修	80228	78.61716706	xiu1
娘	80095	78.64810937	niang2
木	79917	78.67898293	mu4
态	79801	78.70981166	tai4
够	79657	78.74058477	gou4
划	79652	78.77135594	hua2/hua4
续	79516	78.80207458	xu4
境	79476	78.83277776	jing4
米	79379	78.86344347	mi3
假	78608	78.89381133	jia3/jia4
微	78598	78.92417532	wei1
试	78538	78.95451614	shi4
伤	78490	78.98483841	shang1
刚	78482	79.01515759	gang1
状	78334	79.04541959	zhuang4
兰	78170	79.07561824	lan2
诉	78154	79.10581071	su4
助	77815	79.13587222	zhu4
征	77345	79.16575215	zheng1
胜	76839	79.19543661	sheng1/sheng4
竟	76429	79.22496267	jing4
项	76288	79.25443427	xiang4
继	76144	79.28385023	ji4
爷	76034	79.3132237	ye2
疑	75996	79.34258249	yi2
印	75848	79.3718841	yin4
速	75783	79.4011606	su4
齐	75709	79.43040852	qi2
低	75599	79.45961394	di1
室	75414	79.48874789	shi4
退	75297	79.51783664	tui4
脸	75166	79.54687478	lian3
限	75014	79.5758542	xian4
热	74865	79.60477606	re4
田	74780	79.63366509	tian2
值	74591	79.6624811	zhi2
怀	74506	79.69126427	huai2
郎	74449	79.72002542	lang2
纳	74399	79.74876725	na4
氏	74259	79.777455	shi4
景	74246	79.80613773	jing3
执	74233	79.83481544	zhi2
型	74090	79.8634379	xing2
欢	73904	79.89198851	huan1
毛	73739	79.92047537	mao2
免	73675	79.94893751	mian3
略	73618	79.97737763	lue4
批	73360	80.00571808	pi1
犯	73291	80.03403187	fan4
否	73229	80.06232171	fou3/pi3
灵	73214	80.09060576	ling2
药	73018	80.11881409	yao4
射	72958	80.14699923	she4
监	72924	80.17517125	jian1/jian4
织	72505	80.20318139	zhi1
陆	72439	80.23116604	liu4/lu4
句	72333	80.25910974	ju4
孙	72043	80.2869414	sun1
兄	71681	80.31463322	xiong1
罢	71486	80.3422497	ba4/ba
劳	71345	80.36981172	lao2
获	71036	80.39725436	huo4
旧	70907	80.42464716	jiu4
